Type of Soil,Area Ploughed (in acres),Average Rainfall (in mm),Season,Type of Seeds,Type of Transplanting Method,Type of Irrigation Method,Type of Fertilizers Used,Yield Category
Black Soil,23.01,322.5,Zaid,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,6.68,161.6,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,19.0,1059.4,Kharif,Breeder Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,11.78,605.1,Rabi,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,21.13,1241.7,Kharif,Foundation Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Laterite Soil,18.35,1006.3,Zaid,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Alluvial Soil,19.52,1204.6,Kharif,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Very High
Saline and Alkaline Soil,16.58,444.3,Rabi,Hybrid Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,4.85,1053.9,Zaid,Breeder Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,13.85,432.9,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,24.62,1411.6,Zaid,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Very High
Saline and Alkaline Soil,23.47,972.7,Zaid,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,1.56,520.5,Rabi,Foundation Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,4.54,440.8,Rabi,Breeder Seeds,Machine,Canal Irrigation,Organic Fertilizers,Low
Black Soil,3.73,326.8,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,18.29,1057.2,Zaid,Hybrid Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,20.54,367.1,Rabi,Foundation Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Alluvial Soil,5.73,913.2,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Saline and Alkaline Soil,12.89,433.7,Rabi,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,21.1,1009.9,Zaid,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Alluvial Soil,18.45,1231.7,Rabi,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,13.78,1178.1,Kharif,Breeder Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,14.96,1153.2,Rabi,Hybrid Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,12.95,322.2,Zaid,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,7.79,178.2,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Alluvial Soil,14.34,1063.5,Zaid,Breeder Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,17.38,584.1,Zaid,Breeder Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Black Soil,21.9,676.9,Rabi,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Medium
Laterite Soil,16.09,95.2,Zaid,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Black Soil,19.15,426.4,Zaid,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Black Soil,4.42,98.8,Kharif,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Black Soil,11.81,1324.8,Kharif,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Red and Yellow Soil,0.73,402.9,Kharif,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,6.54,858.1,Kharif,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Black Soil,18.3,106.5,Zaid,Hybrid Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,High
Laterite Soil,24.8,1016.9,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,2.93,518.4,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Laterite Soil,10.34,1352.0,Zaid,Hybrid Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,20.1,1337.8,Zaid,Hybrid Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,5.5,521.7,Rabi,Hybrid Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Low
Alluvial Soil,14.1,1356.4,Kharif,Hybrid Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,18.46,1494.4,Zaid,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,15.59,1246.9,Zaid,Open-Pollinated Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,5.11,1275.1,Kharif,Foundation Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,High
Black Soil,9.21,411.1,Zaid,Foundation Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,19.7,886.2,Rabi,Breeder Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,14.08,147.5,Zaid,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Laterite Soil,0.63,187.6,Zaid,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,High
Black Soil,19.14,1498.4,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Black Soil,1.37,523.6,Zaid,Hybrid Seeds,Machine,Tank Irrigation,Organic Fertilizers,Medium
Black Soil,18.77,1134.9,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Black Soil,5.46,1219.7,Rabi,Open-Pollinated Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,23.97,1294.1,Kharif,Foundation Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,9.51,1496.6,Kharif,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Black Soil,8.51,400.2,Rabi,Breeder Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,4.15,108.5,Zaid,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Alluvial Soil,7.99,646.2,Kharif,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,21.98,238.6,Kharif,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Laterite Soil,24.91,82.5,Zaid,Breeder Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Black Soil,9.52,572.6,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,11.49,1186.4,Kharif,Foundation Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,18.19,871.0,Zaid,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Very High
Saline and Alkaline Soil,22.21,503.5,Kharif,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,15.03,998.8,Zaid,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Laterite Soil,10.09,386.4,Zaid,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Medium
Black Soil,10.61,70.9,Rabi,Foundation Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Alluvial Soil,17.54,1158.3,Zaid,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,Very High
Black Soil,0.58,954.4,Rabi,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Alluvial Soil,15.68,1155.3,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,9.21,106.5,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,19.96,1263.8,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,2.78,948.3,Zaid,Breeder Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Black Soil,14.91,866.9,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,12.28,955.7,Kharif,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Chemical Fertilizers,High
Black Soil,16.24,1303.4,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,2.09,901.1,Rabi,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,14.71,892.4,Rabi,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,14.26,1486.5,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Red and Yellow Soil,14.24,1147.3,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,15.29,691.3,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,17.07,1075.7,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,20.22,614.4,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Laterite Soil,7.11,381.9,Rabi,Breeder Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Laterite Soil,20.71,915.4,Zaid,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,12.71,1395.9,Zaid,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,2.39,1397.3,Rabi,Foundation Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,1.93,545.8,Zaid,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,8.69,815.1,Zaid,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,19.73,356.9,Zaid,Open-Pollinated Seeds,Machine,Drip Irrigation,Organic Fertilizers,Medium
Black Soil,17.84,1493.7,Rabi,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,19.82,1472.6,Zaid,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Black Soil,13.17,991.8,Kharif,Breeder Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,11.28,1216.4,Kharif,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Very High
Red and Yellow Soil,4.11,1086.9,Rabi,Breeder Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,8.54,910.1,Kharif,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,11.13,127.4,Rabi,Hybrid Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Black Soil,2.67,709.4,Kharif,Foundation Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Laterite Soil,5.9,1028.4,Kharif,Breeder Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Black Soil,15.16,1032.4,Kharif,Breeder Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,18.52,591.0,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,24.96,1415.5,Rabi,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,23.36,292.7,Zaid,Foundation Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,16.24,775.5,Rabi,Breeder Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Medium
Alluvial Soil,10.82,1051.8,Kharif,Foundation Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,16.09,1060.8,Kharif,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Very High
Black Soil,19.75,990.5,Rabi,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Black Soil,3.4,449.2,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,10.54,276.5,Rabi,Foundation Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Black Soil,21.08,972.1,Zaid,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,9.9,919.0,Kharif,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Red and Yellow Soil,14.51,310.1,Zaid,Breeder Seeds,Manual,Drip Irrigation,Organic Fertilizers,Medium
Alluvial Soil,14.9,1072.5,Zaid,Hybrid Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Black Soil,5.02,710.0,Kharif,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,9.37,1018.3,Kharif,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,8.7,1264.2,Rabi,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,1.14,296.1,Rabi,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,1.09,77.8,Zaid,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,20.88,1179.7,Rabi,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,High
Black Soil,7.19,934.1,Rabi,Foundation Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Laterite Soil,13.19,1064.5,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Alluvial Soil,7.82,1265.3,Kharif,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Alluvial Soil,23.55,1214.1,Rabi,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Very High
Red and Yellow Soil,6.85,1443.3,Kharif,Foundation Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,11.03,827.1,Rabi,Breeder Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Laterite Soil,21.88,758.3,Kharif,Breeder Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Black Soil,21.13,632.7,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,5.06,272.9,Kharif,Hybrid Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Black Soil,20.16,880.3,Kharif,Breeder Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Saline and Alkaline Soil,11.73,451.7,Rabi,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Black Soil,12.33,1385.9,Zaid,Hybrid Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,3.77,895.6,Kharif,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Very High
Red and Yellow Soil,2.47,909.6,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,18.33,564.6,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,12.66,125.4,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,High
Laterite Soil,11.2,96.0,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,18.37,663.8,Kharif,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Black Soil,19.26,172.6,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Black Soil,4.39,929.9,Zaid,Breeder Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,15.45,1327.4,Rabi,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,3.82,1330.2,Kharif,Breeder Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Alluvial Soil,18.91,1005.6,Zaid,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,16.6,356.3,Rabi,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Laterite Soil,23.94,1301.3,Rabi,Hybrid Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Black Soil,2.19,1334.8,Rabi,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,1.9,335.1,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Alluvial Soil,7.41,1119.3,Zaid,Foundation Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Very High
Black Soil,6.91,465.5,Kharif,Breeder Seeds,Machine,Drip Irrigation,Organic Fertilizers,High
Laterite Soil,6.55,1213.8,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,22.7,1496.0,Kharif,Breeder Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,6.61,93.5,Zaid,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,7.16,1351.2,Kharif,Foundation Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,High
Laterite Soil,19.11,952.8,Kharif,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,High
Alluvial Soil,11.52,1461.4,Kharif,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Very High
Laterite Soil,19.53,724.3,Kharif,Breeder Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Black Soil,2.1,1278.7,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Red and Yellow Soil,12.45,140.5,Kharif,Open-Pollinated Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,1.32,536.2,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,2.04,147.2,Kharif,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Black Soil,22.71,1464.2,Zaid,Breeder Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Laterite Soil,3.91,1234.6,Rabi,Foundation Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Black Soil,13.54,1286.2,Rabi,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,10.57,1410.0,Rabi,Breeder Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,9.01,173.4,Rabi,Hybrid Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,22.55,609.1,Zaid,Hybrid Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Black Soil,1.03,153.0,Kharif,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,16.76,355.6,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,24.1,382.6,Zaid,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,14.22,730.2,Rabi,Open-Pollinated Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Medium
Black Soil,23.45,439.4,Kharif,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Black Soil,1.78,196.4,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,10.76,292.9,Zaid,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,6.87,263.5,Kharif,Foundation Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,18.41,1461.0,Zaid,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,24.54,1151.0,Kharif,Breeder Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,6.78,1453.3,Kharif,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,16.53,687.6,Kharif,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,5.35,453.6,Rabi,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,14.35,1207.5,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Laterite Soil,11.87,523.1,Zaid,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,24.31,484.1,Zaid,Foundation Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Alluvial Soil,15.41,387.1,Kharif,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,9.06,238.0,Rabi,Open-Pollinated Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,3.3,421.9,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,4.21,565.2,Zaid,Hybrid Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,6.02,1027.3,Rabi,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Black Soil,6.65,140.7,Rabi,Breeder Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,21.34,355.2,Rabi,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,14.25,1223.1,Zaid,Hybrid Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,13.32,263.0,Rabi,Breeder Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,3.31,546.8,Rabi,Hybrid Seeds,Machine,Tank Irrigation,Organic Fertilizers,Low
Alluvial Soil,21.57,1303.8,Kharif,Foundation Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Very High
Red and Yellow Soil,18.21,274.6,Kharif,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,High
Alluvial Soil,2.16,170.0,Rabi,Foundation Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Black Soil,17.84,752.6,Rabi,Foundation Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,13.82,488.5,Kharif,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Black Soil,2.5,866.9,Kharif,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Red and Yellow Soil,11.73,1215.5,Kharif,Hybrid Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Saline and Alkaline Soil,12.38,248.9,Zaid,Hybrid Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,4.56,892.0,Zaid,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,23.67,783.0,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Medium
Black Soil,21.32,258.9,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Laterite Soil,16.89,954.8,Kharif,Foundation Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Very High
Red and Yellow Soil,11.83,446.8,Zaid,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Laterite Soil,10.59,757.4,Rabi,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Alluvial Soil,16.45,169.3,Zaid,Hybrid Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,13.86,716.4,Rabi,Foundation Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Medium
Alluvial Soil,2.03,494.4,Zaid,Breeder Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,13.06,1242.5,Rabi,Breeder Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,20.26,132.6,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Black Soil,11.75,657.0,Rabi,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,1.77,714.7,Rabi,Breeder Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Low
Red and Yellow Soil,19.76,1101.3,Zaid,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Medium
Laterite Soil,5.43,882.7,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,6.84,1017.5,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,4.54,1176.7,Rabi,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,8.59,1300.2,Zaid,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Alluvial Soil,19.04,505.1,Rabi,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Black Soil,13.22,830.1,Rabi,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Black Soil,5.52,1268.2,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,22.01,1484.7,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Very High
Black Soil,22.05,1339.8,Rabi,Foundation Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Laterite Soil,21.83,588.6,Kharif,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Black Soil,6.35,333.0,Rabi,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,11.56,759.6,Zaid,Breeder Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
