Ownership of Land,Land Owned (in acres),Location,Types of Fertilizers Used,Owning Farming Equipment,Annual Income (in INR),Bank Loan (in INR),Ownership of Livestock,Previous Subsidy Eligibility,Subsidy Eligibility
Yes,19.03,Bihar,Organic,No,307290.94,28173.72,Yes,No,Kisan Credit Card Subsidy
No,43.9,Bihar,Bioinputs,No,91725.79,124988.75,No,No,Kisan Credit Card Subsidy
No,43.4,Nagaland,Organic,Yes,400736.07,145774.1,No,No,PM Krishi Sinchayee Yojana
Yes,40.3,Mizoram,Chemical,No,362854.55,186382.55,No,Yes,NFSM
No,39.5,Odisha,Bioinputs,Yes,52206.53,55774.39,Yes,No,Kisan Credit Card Subsidy
No,15.23,Karnataka,Chemical,Yes,237266.81,190042.24,No,No,PM Krishi Sinchayee Yojana
Yes,4.05,Punjab,Chemical,No,95248.93,12652.53,No,Yes,RKVY
No,20.15,Assam,Bioinputs,No,175363.75,120602.77,Yes,No,Kisan Credit Card Subsidy
Yes,8.68,Haryana,Organic,No,18859.74,11426.54,Yes,Yes,Soil Health Card Scheme
No,34.75,Maharashtra,Organic,No,206161.64,178754.84,No,No,PM Krishi Sinchayee Yojana
Yes,17.3,Uttar Pradesh,Organic,No,279439.69,105961.81,No,No,PM Krishi Sinchayee Yojana
Yes,48.78,Andhra Pradesh,Organic,No,313595.47,133869.67,No,Yes,NFSM
Yes,32.05,Maharashtra,Bioinputs,No,335110.27,166314.79,Yes,No,Kisan Credit Card Subsidy
No,41.12,Arunachal Pradesh,Bioinputs,Yes,419782.74,30062.12,No,No,PM Krishi Sinchayee Yojana
Yes,6.63,Delhi,Bioinputs,No,115576.82,7718.31,Yes,No,NFSM
No,43.1,Tamil Nadu,Chemical,No,69036.09,175776.23,Yes,No,NFSM
Yes,46.14,Bihar,Bioinputs,Yes,427253.21,62986.65,No,Yes,NFSM
Yes,24.35,Telangana,Organic,No,86740.28,25795.78,No,Yes,NFSM
No,30.31,Uttarakhand,Chemical,No,487632.44,93692.25,Yes,No,PM Krishi Sinchayee Yojana
Yes,38.24,Delhi,Organic,Yes,422843.73,119661.22,No,No,Kisan Credit Card Subsidy
Yes,8.74,Odisha,Organic,No,255429.54,6194.12,No,Yes,Kisan Credit Card Subsidy
No,25.13,Goa,Bioinputs,No,490896.5,54979.13,Yes,Yes,Kisan Credit Card Subsidy
Yes,19.93,Tripura,Bioinputs,No,57714.6,6559.97,No,No,Kisan Credit Card Subsidy
Yes,7.32,Andhra Pradesh,Organic,No,158502.22,84067.08,Yes,Yes,RKVY
Yes,18.38,Mizoram,Organic,No,322729.96,179020.01,No,Yes,Kisan Credit Card Subsidy
Yes,3.41,Haryana,Chemical,No,181503.37,196530.48,Yes,Yes,Fertilizer Subsidy Scheme
No,1.29,Odisha,Bioinputs,Yes,464902.55,127409.51,Yes,Yes,NFSM
No,6.76,Rajasthan,Chemical,No,42156.78,32327.54,No,No,Kisan Credit Card Subsidy
Yes,48.16,Andhra Pradesh,Chemical,No,279211.8,181169.88,Yes,Yes,NFSM
No,27.48,Chhattisgarh,Chemical,Yes,299524.47,103249.56,Yes,No,PM Krishi Sinchayee Yojana
Yes,48.29,Uttarakhand,Organic,Yes,329836.78,30749.86,No,No,PM Krishi Sinchayee Yojana
No,21.62,Meghalaya,Chemical,No,135276.45,184345.33,No,Yes,NFSM
Yes,15.59,Goa,Chemical,Yes,188637.55,151493.81,No,No,NFSM
Yes,25.31,Haryana,Organic,No,423403.46,146341.05,Yes,No,NFSM
Yes,21.98,Madhya Pradesh,Bioinputs,No,105521.96,141836.14,Yes,Yes,RKVY
Yes,5.28,Meghalaya,Bioinputs,Yes,415165.25,40067.96,Yes,Yes,Kisan Credit Card Subsidy
Yes,32.04,Puducherry,Chemical,No,285701.16,42201.34,No,Yes,Kisan Credit Card Subsidy
Yes,10.8,Assam,Organic,No,383471.88,137658.6,Yes,No,Kisan Credit Card Subsidy
No,30.98,Odisha,Bioinputs,Yes,359667.61,43944.55,Yes,No,PM Krishi Sinchayee Yojana
Yes,32.51,Kerala,Chemical,Yes,111680.63,87734.34,No,No,NFSM
No,7.6,Meghalaya,Chemical,Yes,288718.24,156400.37,Yes,No,PM Krishi Sinchayee Yojana
Yes,3.07,Uttarakhand,Organic,Yes,435184.34,156790.5,No,Yes,NFSM
No,39.04,Karnataka,Chemical,No,221736.96,90652.35,No,No,PM Krishi Sinchayee Yojana
No,22.99,Jharkhand,Bioinputs,Yes,483629.48,158437.99,No,Yes,Kisan Credit Card Subsidy
No,2.91,Tripura,Organic,Yes,231585.4,167724.36,Yes,Yes,NFSM
Yes,49.74,Punjab,Bioinputs,Yes,79964.96,130955.15,Yes,Yes,RKVY
Yes,2.89,Chandigarh,Bioinputs,Yes,200822.99,45685.17,Yes,Yes,Soil Health Card Scheme
No,34.75,Bihar,Bioinputs,Yes,476334.18,54802.36,No,No,PM Krishi Sinchayee Yojana
Yes,49.18,Kerala,Chemical,No,166663.22,62968.23,No,Yes,Soil Health Card Scheme
No,11.96,Tamil Nadu,Chemical,Yes,435368.1,23360.82,No,No,PM Krishi Sinchayee Yojana
Yes,7.11,Arunachal Pradesh,Bioinputs,No,441812.83,54631.92,Yes,Yes,NFSM
No,6.07,Telangana,Bioinputs,Yes,181591.4,41903.84,Yes,Yes,NFSM
No,15.16,Sikkim,Organic,Yes,50796.25,91065.75,Yes,Yes,NFSM
Yes,5.05,Odisha,Organic,Yes,365033.38,181687.51,Yes,No,NFSM
No,34.61,Tripura,Chemical,Yes,162641.03,20896.06,Yes,Yes,NFSM
Yes,3.11,Chhattisgarh,Chemical,Yes,393632.57,144053.58,No,Yes,Soil Health Card Scheme
No,25.47,Haryana,Organic,Yes,226900.88,137456.6,Yes,Yes,Kisan Credit Card Subsidy
No,49.83,Gujarat,Bioinputs,Yes,247780.7,19150.84,No,Yes,PM Krishi Sinchayee Yojana
Yes,40.7,Maharashtra,Chemical,Yes,391175.61,184514.48,No,No,PM Krishi Sinchayee Yojana
Yes,30.76,Telangana,Bioinputs,No,197358.03,113694.44,Yes,No,NFSM
Yes,15.31,Tamil Nadu,Organic,Yes,227132.4,72745.1,No,Yes,Kisan Credit Card Subsidy
No,31.19,Assam,Chemical,No,194333.33,151307.72,Yes,Yes,Soil Health Card Scheme
Yes,26.35,Nagaland,Chemical,Yes,189996.85,51473.09,Yes,No,NFSM
No,21.3,Meghalaya,Organic,No,267713.82,138701.97,No,No,PM Krishi Sinchayee Yojana
No,6.54,Tamil Nadu,Chemical,Yes,406311.73,7942.24,Yes,No,PM Krishi Sinchayee Yojana
Yes,44.33,Odisha,Organic,Yes,187266.47,167881.61,Yes,Yes,RKVY
Yes,22.49,Odisha,Chemical,Yes,266884.81,89634.17,No,No,Kisan Credit Card Subsidy
No,9.73,Nagaland,Organic,No,338656.39,127338.58,No,Yes,PM Krishi Sinchayee Yojana
No,18.39,Punjab,Chemical,No,142025.33,44247.56,No,No,Kisan Credit Card Subsidy
Yes,20.71,Meghalaya,Bioinputs,No,145986.17,135414.74,No,No,NFSM
Yes,41.38,Haryana,Bioinputs,No,467372.43,154448.06,No,Yes,NFSM
Yes,36.68,West Bengal,Bioinputs,Yes,364531.94,94642.64,No,No,PM Krishi Sinchayee Yojana
Yes,38.47,Andhra Pradesh,Chemical,Yes,292821.47,123545.38,Yes,Yes,NFSM
Yes,0.55,Mizoram,Chemical,Yes,327382.83,91265.18,Yes,No,NFSM
No,20.81,Kerala,Bioinputs,No,24356.73,178818.27,Yes,Yes,NFSM
No,24.07,Puducherry,Bioinputs,Yes,312870.45,99573.84,No,No,PM Krishi Sinchayee Yojana
No,0.96,Rajasthan,Organic,No,259659.35,168361.74,Yes,No,Kisan Credit Card Subsidy
No,12.99,Karnataka,Organic,No,277417.34,160270.41,No,Yes,PM Krishi Sinchayee Yojana
Yes,38.01,Chhattisgarh,Organic,No,186117.68,82100.96,Yes,Yes,RKVY
Yes,6.86,Uttarakhand,Bioinputs,No,49922.21,46016.9,No,Yes,RKVY
Yes,26.77,Kerala,Bioinputs,No,104736.22,81216.43,Yes,Yes,Soil Health Card Scheme
No,10.76,Mizoram,Bioinputs,Yes,475864.91,165243.48,No,No,PM Krishi Sinchayee Yojana
No,0.61,Goa,Organic,No,210262.79,45526.51,No,No,PM Krishi Sinchayee Yojana
Yes,12.06,Andhra Pradesh,Chemical,No,238674.75,104887.27,No,No,PM Krishi Sinchayee Yojana
Yes,48.79,Chhattisgarh,Bioinputs,Yes,35827.8,161219.35,No,No,NFSM
No,40.08,Tripura,Chemical,No,28407.45,70695.5,Yes,No,Kisan Credit Card Subsidy
No,47.98,West Bengal,Chemical,No,361418.91,128441.93,Yes,No,PM Krishi Sinchayee Yojana
Yes,24.39,Maharashtra,Chemical,Yes,273666.39,49126.31,No,Yes,NFSM
Yes,5.49,Chhattisgarh,Organic,Yes,259265.93,21855.89,No,No,PM Krishi Sinchayee Yojana
No,27.4,Sikkim,Chemical,Yes,129131.02,158876.85,No,No,Kisan Credit Card Subsidy
Yes,22.72,Telangana,Bioinputs,No,374927.86,19793.72,Yes,Yes,NFSM
Yes,42.22,Uttarakhand,Organic,Yes,92435.92,54276.28,No,No,NFSM
Yes,4.9,Andhra Pradesh,Bioinputs,Yes,103068.02,171021.88,No,No,Soil Health Card Scheme
No,24.41,Puducherry,Bioinputs,Yes,235748.96,69293.86,Yes,No,PM Krishi Sinchayee Yojana
No,7.5,Nagaland,Organic,No,150277.13,194609.07,No,Yes,NFSM
No,16.23,Meghalaya,Bioinputs,Yes,131256.86,195946.87,No,Yes,Kisan Credit Card Subsidy
No,36.87,Himachal Pradesh,Bioinputs,No,326166.45,53655.2,Yes,No,PM Krishi Sinchayee Yojana
No,23.8,Odisha,Organic,No,328976.16,8195.64,No,Yes,PM Krishi Sinchayee Yojana
No,18.79,Sikkim,Bioinputs,Yes,414013.36,141012.66,No,No,PM Krishi Sinchayee Yojana
No,19.72,Chhattisgarh,Chemical,No,214677.2,90197.3,Yes,No,PM Krishi Sinchayee Yojana
Yes,22.97,Uttarakhand,Bioinputs,No,45811.69,20150.57,No,No,NFSM
Yes,39.25,Arunachal Pradesh,Chemical,Yes,144096.53,141504.56,Yes,Yes,RKVY
Yes,44.6,Puducherry,Bioinputs,No,490202.68,6234.98,No,No,Kisan Credit Card Subsidy
Yes,47.77,Manipur,Organic,Yes,302166.7,174039.34,No,No,Kisan Credit Card Subsidy
Yes,39.35,Gujarat,Organic,No,357771.17,27730.51,No,No,PM Krishi Sinchayee Yojana
Yes,15.77,Bihar,Bioinputs,No,13605.34,25462.38,No,No,Kisan Credit Card Subsidy
Yes,34.41,Andhra Pradesh,Organic,Yes,263920.81,35134.46,No,No,PM Krishi Sinchayee Yojana
No,21.88,Madhya Pradesh,Bioinputs,Yes,28389.04,192053.27,Yes,Yes,NFSM
No,12.73,Punjab,Organic,No,288922.8,138633.87,No,No,PM Krishi Sinchayee Yojana
Yes,42.04,Sikkim,Chemical,No,461177.72,160274.31,No,Yes,Kisan Credit Card Subsidy
Yes,1.92,Gujarat,Bioinputs,Yes,484525.37,79527.0,Yes,No,Kisan Credit Card Subsidy
No,45.09,Manipur,Chemical,No,274870.81,67262.55,Yes,Yes,Kisan Credit Card Subsidy
Yes,23.07,Tamil Nadu,Chemical,No,234520.35,46896.8,No,No,PM Krishi Sinchayee Yojana
Yes,31.86,Maharashtra,Bioinputs,No,473058.38,96129.61,Yes,No,Kisan Credit Card Subsidy
No,32.97,Tamil Nadu,Chemical,No,340068.82,110365.75,No,Yes,PM Krishi Sinchayee Yojana
Yes,44.76,Odisha,Bioinputs,Yes,41800.65,126354.97,Yes,Yes,RKVY
No,31.83,Sikkim,Chemical,Yes,238205.53,51423.7,Yes,No,Kisan Credit Card Subsidy
Yes,30.7,Delhi,Bioinputs,Yes,127720.06,189730.82,No,Yes,RKVY
No,3.33,Telangana,Bioinputs,Yes,240204.12,33951.7,Yes,Yes,Kisan Credit Card Subsidy
No,25.92,Punjab,Organic,Yes,233178.13,193130.63,No,No,PM Krishi Sinchayee Yojana
No,7.51,Delhi,Bioinputs,Yes,295250.95,2971.22,Yes,No,PM Krishi Sinchayee Yojana
Yes,36.87,Telangana,Bioinputs,No,184817.54,96225.14,Yes,No,Soil Health Card Scheme
No,25.61,Nagaland,Chemical,Yes,90492.52,66673.57,Yes,No,NFSM
Yes,34.01,Chandigarh,Bioinputs,No,256822.52,89824.68,No,No,PM Krishi Sinchayee Yojana
Yes,2.08,Jharkhand,Organic,No,416799.41,114132.92,No,Yes,NFSM
Yes,4.24,Himachal Pradesh,Chemical,No,335365.99,87117.83,Yes,No,NFSM
Yes,35.82,Tripura,Chemical,Yes,175800.25,82969.37,No,Yes,NFSM
No,3.6,Haryana,Organic,No,468406.28,146544.68,No,No,PM Krishi Sinchayee Yojana
No,3.56,Uttar Pradesh,Chemical,Yes,456981.71,137175.26,No,No,Kisan Credit Card Subsidy
Yes,0.61,Puducherry,Chemical,No,112580.72,166654.26,Yes,Yes,Fertilizer Subsidy Scheme
Yes,47.83,Delhi,Chemical,No,29314.62,49991.8,No,No,NFSM
No,36.88,Jharkhand,Chemical,Yes,373241.27,121905.7,Yes,Yes,Kisan Credit Card Subsidy
Yes,17.66,Mizoram,Organic,No,415529.03,117038.96,Yes,Yes,Kisan Credit Card Subsidy
No,14.83,Arunachal Pradesh,Organic,No,484253.64,73947.56,Yes,Yes,PM Krishi Sinchayee Yojana
Yes,17.49,Goa,Chemical,No,446019.83,97211.51,Yes,No,PM Krishi Sinchayee Yojana
Yes,38.73,Uttar Pradesh,Chemical,No,304262.04,62756.43,Yes,No,Kisan Credit Card Subsidy
No,33.07,Chhattisgarh,Organic,Yes,269725.65,28368.88,No,No,PM Krishi Sinchayee Yojana
Yes,9.26,West Bengal,Organic,No,23642.12,42760.24,No,No,Kisan Credit Card Subsidy
No,8.71,Puducherry,Organic,No,130861.66,21102.73,Yes,No,Kisan Credit Card Subsidy
Yes,4.92,Himachal Pradesh,Chemical,Yes,235211.23,136613.92,No,No,NFSM
Yes,33.02,Chhattisgarh,Chemical,No,317966.91,132145.48,No,Yes,Kisan Credit Card Subsidy
Yes,38.22,Nagaland,Bioinputs,No,283053.4,190121.27,No,No,PM Krishi Sinchayee Yojana
No,13.25,Uttar Pradesh,Organic,No,373891.63,145935.68,No,No,PM Krishi Sinchayee Yojana
Yes,1.05,Punjab,Chemical,No,147085.8,10409.17,No,No,Soil Health Card Scheme
Yes,4.11,Himachal Pradesh,Organic,Yes,286826.78,176849.03,No,No,NFSM
Yes,48.39,Mizoram,Chemical,No,53189.7,172535.03,No,Yes,Soil Health Card Scheme
Yes,14.77,Uttarakhand,Organic,Yes,212696.11,88664.06,Yes,Yes,NFSM
No,38.46,Mizoram,Chemical,No,377578.81,117172.61,Yes,Yes,Kisan Credit Card Subsidy
No,31.23,Kerala,Bioinputs,No,349766.42,195215.67,Yes,Yes,Kisan Credit Card Subsidy
Yes,19.1,Gujarat,Bioinputs,No,495414.94,106460.87,No,Yes,Kisan Credit Card Subsidy
No,10.28,Uttarakhand,Organic,Yes,146166.65,181064.37,No,No,PM Krishi Sinchayee Yojana
Yes,6.07,Assam,Chemical,No,254112.76,16607.75,Yes,Yes,NFSM
Yes,30.75,Jharkhand,Chemical,No,171469.9,38210.37,No,Yes,NFSM
Yes,38.73,Arunachal Pradesh,Organic,Yes,225895.53,88150.99,No,No,PM Krishi Sinchayee Yojana
No,32.2,Tripura,Chemical,Yes,429905.56,116951.36,Yes,No,PM Krishi Sinchayee Yojana
No,26.52,Assam,Organic,Yes,345262.45,163245.57,Yes,Yes,Kisan Credit Card Subsidy
No,2.1,Meghalaya,Chemical,Yes,442396.18,197652.42,Yes,No,NFSM
No,48.42,Arunachal Pradesh,Organic,No,109720.44,77770.3,No,No,Kisan Credit Card Subsidy
No,39.94,West Bengal,Chemical,No,437946.95,9483.13,No,Yes,PM Krishi Sinchayee Yojana
No,14.64,Telangana,Organic,No,39283.51,160234.3,No,No,NFSM
No,49.0,Jharkhand,Chemical,No,445413.65,120876.14,Yes,Yes,NFSM
No,30.09,Goa,Bioinputs,Yes,171246.15,39708.57,Yes,Yes,NFSM
No,29.12,Sikkim,Chemical,No,164147.94,98965.69,No,No,Kisan Credit Card Subsidy
Yes,37.4,Uttar Pradesh,Organic,No,260923.4,148462.05,Yes,Yes,Soil Health Card Scheme
No,40.59,Karnataka,Bioinputs,No,470938.19,154082.36,Yes,Yes,PM Krishi Sinchayee Yojana
No,32.82,Tamil Nadu,Chemical,No,33412.87,99923.68,No,No,NFSM
No,6.4,Gujarat,Bioinputs,Yes,182593.18,61042.91,Yes,No,NFSM
No,16.91,Uttarakhand,Chemical,No,429720.27,194748.52,Yes,No,PM Krishi Sinchayee Yojana
No,46.4,Delhi,Bioinputs,No,204066.69,132672.52,Yes,No,PM Krishi Sinchayee Yojana
No,11.23,Manipur,Organic,No,107586.88,81647.5,No,Yes,Kisan Credit Card Subsidy
No,18.61,Goa,Chemical,Yes,218149.15,56092.64,No,No,PM Krishi Sinchayee Yojana
No,21.6,Punjab,Chemical,Yes,198920.73,146220.6,Yes,No,NFSM
No,21.97,Uttarakhand,Organic,No,458553.94,48436.69,No,Yes,PM Krishi Sinchayee Yojana
No,30.65,Himachal Pradesh,Bioinputs,No,383347.84,34342.0,No,Yes,PM Krishi Sinchayee Yojana
No,47.15,Sikkim,Organic,No,257506.62,105966.78,No,Yes,PM Krishi Sinchayee Yojana
Yes,12.03,Punjab,Organic,Yes,494301.58,57997.48,Yes,Yes,NFSM
Yes,6.08,Kerala,Bioinputs,No,237985.99,125781.03,No,No,PM Krishi Sinchayee Yojana
No,9.87,Odisha,Organic,No,38536.54,23587.73,Yes,No,PM Krishi Sinchayee Yojana
No,44.35,Punjab,Chemical,No,138514.42,130988.22,Yes,Yes,Soil Health Card Scheme
Yes,32.29,Assam,Chemical,Yes,223674.54,56659.31,No,Yes,Kisan Credit Card Subsidy
No,14.3,Manipur,Chemical,No,86882.29,48.59,Yes,Yes,NFSM
Yes,40.8,Arunachal Pradesh,Organic,No,474306.91,25387.21,No,Yes,Kisan Credit Card Subsidy
Yes,43.07,Puducherry,Chemical,Yes,385755.96,186723.08,No,No,NFSM
Yes,42.33,Rajasthan,Chemical,Yes,141460.73,173470.93,Yes,Yes,RKVY
Yes,45.95,Arunachal Pradesh,Chemical,No,299494.22,46721.81,Yes,No,Kisan Credit Card Subsidy
Yes,12.61,Sikkim,Chemical,Yes,363510.09,155674.38,No,Yes,Kisan Credit Card Subsidy
No,37.75,Assam,Chemical,No,471226.68,121714.32,No,No,PM Krishi Sinchayee Yojana
Yes,23.03,Goa,Chemical,Yes,442001.32,194180.94,No,No,PM Krishi Sinchayee Yojana
No,42.1,Manipur,Organic,Yes,262444.19,74721.13,No,No,PM Krishi Sinchayee Yojana
No,36.42,Uttarakhand,Chemical,No,389579.78,136292.12,Yes,No,Kisan Credit Card Subsidy
Yes,38.82,Jharkhand,Chemical,No,285450.93,12707.14,Yes,Yes,NFSM
Yes,32.81,Himachal Pradesh,Bioinputs,No,280824.91,79249.47,Yes,No,Kisan Credit Card Subsidy
No,8.87,Andhra Pradesh,Organic,Yes,66223.56,192763.53,No,Yes,NFSM
Yes,27.25,Meghalaya,Organic,No,71807.45,107796.17,Yes,No,NFSM
Yes,49.23,Goa,Organic,No,269471.47,57575.9,Yes,No,Kisan Credit Card Subsidy
No,46.87,Himachal Pradesh,Organic,No,141742.16,24054.19,Yes,Yes,NFSM
No,2.16,Uttarakhand,Chemical,No,20308.08,140705.67,Yes,Yes,RKVY
Yes,8.24,Bihar,Chemical,No,364191.21,128971.21,No,No,Kisan Credit Card Subsidy
No,6.59,Uttarakhand,Bioinputs,Yes,25918.43,74787.74,Yes,No,NFSM
Yes,36.3,West Bengal,Bioinputs,No,301685.65,190188.27,Yes,Yes,NFSM
Yes,40.89,Arunachal Pradesh,Organic,No,274204.96,4440.56,Yes,No,Kisan Credit Card Subsidy
Yes,10.68,Delhi,Bioinputs,Yes,484719.2,60744.77,Yes,Yes,NFSM
No,25.29,Bihar,Bioinputs,No,247264.44,184213.9,No,Yes,PM Krishi Sinchayee Yojana
No,42.04,Andhra Pradesh,Organic,No,41164.7,64187.09,No,Yes,NFSM
No,36.64,Odisha,Organic,No,280327.1,50450.57,Yes,No,PM Krishi Sinchayee Yojana
No,27.11,Uttar Pradesh,Bioinputs,No,422137.12,106844.08,No,No,PM Krishi Sinchayee Yojana
No,29.52,Tripura,Chemical,No,498456.15,164760.35,No,Yes,PM Krishi Sinchayee Yojana
Yes,25.42,Jharkhand,Bioinputs,Yes,220868.16,20629.35,No,Yes,Kisan Credit Card Subsidy
Yes,14.88,Rajasthan,Bioinputs,Yes,166946.38,188604.14,No,Yes,Soil Health Card Scheme
Yes,28.25,Manipur,Chemical,Yes,454260.12,159014.58,Yes,Yes,Soil Health Card Scheme
Yes,34.44,Uttarakhand,Chemical,No,103708.64,36250.05,No,No,NFSM
No,43.67,Sikkim,Organic,Yes,311560.17,142401.59,No,Yes,PM Krishi Sinchayee Yojana
Yes,31.81,Odisha,Organic,No,208800.07,76991.74,Yes,No,NFSM
No,38.06,Meghalaya,Bioinputs,No,30130.36,80458.94,Yes,Yes,NFSM
Yes,8.0,Rajasthan,Chemical,No,180171.35,156658.02,Yes,No,Soil Health Card Scheme
No,23.08,Uttarakhand,Organic,Yes,139961.98,192556.96,Yes,No,NFSM
No,0.47,Telangana,Bioinputs,Yes,346184.67,25331.17,No,No,PM Krishi Sinchayee Yojana
Yes,12.33,Sikkim,Chemical,Yes,474907.34,84126.05,Yes,No,Kisan Credit Card Subsidy
Yes,36.32,Bihar,Bioinputs,No,141343.12,96188.32,No,No,Kisan Credit Card Subsidy
Yes,49.59,Arunachal Pradesh,Organic,Yes,407618.31,75262.36,No,Yes,Kisan Credit Card Subsidy
Yes,4.96,Puducherry,Organic,No,37126.31,72637.82,Yes,Yes,Fertilizer Subsidy Scheme
No,20.07,Tripura,Chemical,Yes,273679.29,10453.73,Yes,No,PM Krishi Sinchayee Yojana
Yes,40.0,Madhya Pradesh,Bioinputs,Yes,44569.53,137107.72,No,Yes,RKVY
Yes,10.2,West Bengal,Chemical,No,467676.17,87242.88,No,Yes,Kisan Credit Card Subsidy
No,27.75,Andhra Pradesh,Organic,No,385512.13,38958.76,Yes,Yes,PM Krishi Sinchayee Yojana
Yes,36.65,Mizoram,Organic,Yes,332395.46,163206.7,Yes,Yes,Soil Health Card Scheme
Yes,30.8,Madhya Pradesh,Bioinputs,Yes,413709.23,160512.15,Yes,Yes,NFSM
Yes,9.4,Bihar,Bioinputs,Yes,327284.7,97278.33,No,Yes,Kisan Credit Card Subsidy
Yes,17.77,Gujarat,Bioinputs,No,484782.75,59690.13,No,Yes,Kisan Credit Card Subsidy
Yes,39.19,Mizoram,Chemical,No,359839.39,127618.55,Yes,No,Kisan Credit Card Subsidy
No,27.71,Himachal Pradesh,Bioinputs,Yes,463082.72,57630.43,No,Yes,Kisan Credit Card Subsidy
Yes,0.26,Bihar,Bioinputs,Yes,263394.63,47201.59,Yes,Yes,NFSM
Yes,38.05,Odisha,Organic,No,67361.56,146102.93,No,Yes,RKVY
Yes,1.77,Andhra Pradesh,Organic,Yes,268807.08,8065.05,No,No,Kisan Credit Card Subsidy
Yes,37.29,Jharkhand,Bioinputs,No,72167.69,18953.69,Yes,No,Kisan Credit Card Subsidy
Yes,10.12,Bihar,Bioinputs,No,300321.8,1357.63,Yes,Yes,Kisan Credit Card Subsidy
No,47.9,Himachal Pradesh,Organic,No,246421.6,30588.64,Yes,No,PM Krishi Sinchayee Yojana
Yes,18.4,Madhya Pradesh,Bioinputs,No,315061.94,13798.0,No,No,PM Krishi Sinchayee Yojana
No,16.35,Maharashtra,Chemical,No,14923.02,199160.47,No,Yes,NFSM
No,7.44,Jharkhand,Chemical,No,105471.84,57761.99,Yes,No,NFSM
Yes,15.28,Goa,Chemical,Yes,250751.91,29853.6,No,Yes,NFSM
Yes,43.83,Meghalaya,Bioinputs,No,475746.75,48199.25,Yes,No,PM Krishi Sinchayee Yojana
Yes,49.82,Goa,Organic,No,197968.43,187225.11,No,Yes,Soil Health Card Scheme
Yes,18.42,Mizoram,Bioinputs,Yes,217942.29,104032.04,Yes,No,Kisan Credit Card Subsidy
No,22.43,Jharkhand,Bioinputs,No,360201.08,72963.62,No,Yes,PM Krishi Sinchayee Yojana
Yes,36.1,Nagaland,Organic,Yes,305858.45,174678.29,No,Yes,Kisan Credit Card Subsidy
Yes,44.31,Uttarakhand,Organic,No,156473.81,78998.05,No,No,Kisan Credit Card Subsidy
Yes,29.65,Sikkim,Organic,Yes,211300.03,67001.71,No,Yes,NFSM
Yes,19.58,Nagaland,Chemical,Yes,116672.9,41456.5,Yes,Yes,Soil Health Card Scheme
Yes,20.63,Assam,Bioinputs,No,483350.51,75559.36,No,No,Kisan Credit Card Subsidy
Yes,34.78,Punjab,Organic,No,74010.85,63336.87,Yes,Yes,Soil Health Card Scheme
No,0.16,Uttarakhand,Bioinputs,No,192200.02,135460.79,Yes,Yes,Soil Health Card Scheme
No,30.98,Rajasthan,Chemical,No,22661.1,57916.54,Yes,No,Kisan Credit Card Subsidy
Yes,17.77,Chandigarh,Chemical,Yes,118671.95,115439.95,Yes,Yes,Soil Health Card Scheme
Yes,39.71,Tripura,Organic,Yes,392430.86,13178.43,No,No,PM Krishi Sinchayee Yojana
Yes,4.65,West Bengal,Organic,Yes,108575.86,38257.83,Yes,Yes,Soil Health Card Scheme
No,29.41,Manipur,Bioinputs,No,49231.07,81481.05,No,No,Kisan Credit Card Subsidy
Yes,24.05,Manipur,Organic,Yes,242482.06,187389.85,No,No,Kisan Credit Card Subsidy
No,32.12,Bihar,Bioinputs,No,14884.93,75450.4,No,Yes,NFSM
Yes,3.24,Delhi,Organic,No,51535.42,132814.82,No,No,NFSM
Yes,29.0,Uttarakhand,Bioinputs,Yes,405736.68,51017.44,Yes,Yes,NFSM
Yes,28.07,Himachal Pradesh,Bioinputs,No,388021.94,25406.72,No,Yes,Kisan Credit Card Subsidy
Yes,28.03,Uttarakhand,Bioinputs,Yes,458418.02,11707.32,Yes,No,PM Krishi Sinchayee Yojana
No,30.17,Uttar Pradesh,Bioinputs,No,428712.56,61082.7,No,Yes,PM Krishi Sinchayee Yojana
No,33.82,Odisha,Chemical,Yes,344756.03,31532.21,No,Yes,PM Krishi Sinchayee Yojana
Yes,40.25,Telangana,Bioinputs,No,35643.1,34802.09,Yes,No,NFSM
Yes,13.49,West Bengal,Organic,Yes,393595.82,152151.86,No,Yes,Kisan Credit Card Subsidy
No,41.25,Mizoram,Chemical,Yes,424300.3,3167.61,No,Yes,PM Krishi Sinchayee Yojana
No,24.91,Karnataka,Chemical,No,401550.25,111562.03,No,No,PM Krishi Sinchayee Yojana
No,3.85,Tripura,Bioinputs,No,259154.73,75892.28,No,Yes,NFSM
No,2.93,Himachal Pradesh,Chemical,Yes,124121.9,101310.0,No,Yes,Soil Health Card Scheme
Yes,16.71,Jharkhand,Bioinputs,No,424211.69,112566.05,Yes,No,PM Krishi Sinchayee Yojana
No,39.24,Nagaland,Organic,No,366309.78,62673.54,No,Yes,Kisan Credit Card Subsidy
Yes,35.38,Punjab,Bioinputs,No,490572.98,59021.77,No,Yes,NFSM
No,39.43,Madhya Pradesh,Chemical,Yes,86289.37,146680.37,Yes,No,NFSM
No,25.86,Haryana,Organic,Yes,120575.65,174255.4,No,Yes,NFSM
No,22.01,Gujarat,Bioinputs,No,113781.09,38516.33,Yes,Yes,NFSM
No,7.37,Mizoram,Organic,No,398344.49,19523.75,No,No,PM Krishi Sinchayee Yojana
